method,seed,run_dir,task_idx,task_name,family,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,effective_n,active_component_count
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,0.5480900150289756,0.0,0.4519099849710244,1.0,1.97324380156387,2.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,0.6819700862388977,0.0,0.31802991376110235,2.0,2.9903094005447928,3.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,0.7288715644974343,0.0,0.2711284355025657,2.0,2.9067602229869878,3.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,0.6266467104868625,0.0,0.37335328951313757,2.0,2.968223864202129,3.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,Identity,4,0.6999926205135079,0.0,0.3000073794864921,2.0,2.9630826393198433,3.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,BallLava,5,0.7377669104396153,0.0,0.2622330895603847,2.0,2.9102891589481694,3.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,13,CurriculumMultiRoomObjectRemapEnv-LavaBall-R5-v0,LavaBall,5,0.7748002785471005,0.0,0.22519972145289952,3.0,3.942106162847646,4.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,14,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R5-v0,KeyBoxSwap,5,0.6587236153584977,0.0,0.3412763846415023,2.0,2.971612968068048,3.0
AMSC-norm,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260622-121547,15,CurriculumMultiRoomObjectRemapEnv-Identity-R5-v0,Identity,5,0.7547299747656765,0.0,0.24527002523432354,3.0,3.980325654284157,4.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,0,CurriculumMultiRoomObjectRemapEnv-BallLava-R2-v0,BallLava,2,0.0,0.0,1.0,0.0,1.0,1.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,1,CurriculumMultiRoomObjectRemapEnv-LavaBall-R2-v0,LavaBall,2,0.0,0.36014761344224,0.6398523865577601,1.0,1.8090885692403311,2.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,2,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R2-v0,KeyBoxSwap,2,0.0,0.5466889051615498,0.4533110948384502,1.0,1.9748498276314046,2.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,3,CurriculumMultiRoomObjectRemapEnv-Identity-R2-v0,Identity,2,0.0,0.48676167923940294,0.513238320760597,1.0,1.9760232912367506,2.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,BallLava,3,0.5666214487199414,0.0,0.43337855128005864,1.0,1.95364880656928,2.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,LavaBall,3,0.6302851627855939,0.0,0.36971483721440623,1.0,1.858741890285419,2.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,KeyBoxSwap,3,0.5943977652518673,0.0,0.4056022347481327,1.0,1.923858129155919,2.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,0.3359403164970514,0.4462580979465171,0.21780158555643156,3.0,3.748926007553399,4.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,0.7429493630113726,0.0,0.25705063698862735,2.0,2.8717304169058386,3.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,0.7204001258715993,0.0,0.27959987412840065,2.0,2.954697431412432,3.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,0.6419255244014339,0.0,0.3580744755985661,2.0,2.980624746142304,3.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,Identity,4,0.7176425345054708,0.0,0.2823574654945293,2.0,2.945181158728608,3.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,BallLava,5,0.8115611930892465,0.0,0.1884388069107535,3.0,3.8815660335595306,4.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,13,CurriculumMultiRoomObjectRemapEnv-LavaBall-R5-v0,LavaBall,5,0.7316995760429494,0.0,0.2683004239570506,2.0,2.9331770716687253,3.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,14,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R5-v0,KeyBoxSwap,5,0.7653781304167482,0.0,0.2346218695832519,3.0,3.8691348105829526,4.0
AMSC-norm,88,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-88-mask-linear_comb-no_task_label-mg10/260622-121547,15,CurriculumMultiRoomObjectRemapEnv-Identity-R5-v0,Identity,5,0.557335491827635,0.2141703016016038,0.22849420657076128,4.0,4.928965290400766,5.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,0,CurriculumMultiRoomObjectRemapEnv-BallLava-R2-v0,BallLava,2,0.0,0.0,1.0,0.0,1.0,1.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,1,CurriculumMultiRoomObjectRemapEnv-LavaBall-R2-v0,LavaBall,2,0.0,0.44430440445754726,0.5556955955424527,1.0,1.9146975387534546,2.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,2,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R2-v0,KeyBoxSwap,2,0.0,0.5958192467926346,0.4041807532073653,1.0,1.9025052327136127,2.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,3,CurriculumMultiRoomObjectRemapEnv-Identity-R2-v0,Identity,2,0.0,0.6944690420149962,0.30553095798500385,2.0,2.8974680652670988,3.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,BallLava,3,0.6123271764529498,0.0,0.38767282354705024,1.0,1.8799811773242872,2.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,LavaBall,3,0.3810911747133519,0.3157503964125619,0.30315842887408617,2.0,2.9600679967427874,3.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,KeyBoxSwap,3,0.402902525301933,0.33761199795478386,0.2594854767432831,2.0,2.883807106303846,3.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,0.384469008244299,0.3087550432985188,0.30677594845718203,2.0,2.8793117653034974,3.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,0.7384570949034932,0.0,0.26154290509650685,2.0,2.874919675358874,3.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,0.0,0.7130366708574648,0.2869633291425352,3.0,3.956558122635829,4.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,0.6198381136227541,0.0,0.3801618863772459,2.0,2.9635243990795423,3.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,Identity,4,0.47245926608289934,0.2598018481710207,0.26773888574607996,3.0,3.9733207851955763,4.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,BallLava,5,0.7055149682186183,0.0,0.29448503178138175,3.0,3.9290956232293253,4.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,13,CurriculumMultiRoomObjectRemapEnv-LavaBall-R5-v0,LavaBall,5,0.7197480301143575,0.0,0.28025196988564244,3.0,3.9655129739328507,4.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,14,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R5-v0,KeyBoxSwap,5,0.5130401340587967,0.0,0.48695986594120333,1.0,1.9947053322129917,2.0
AMSC-norm,89,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-89-mask-linear_comb-no_task_label-mg10/260622-121547,15,CurriculumMultiRoomObjectRemapEnv-Identity-R5-v0,Identity,5,0.2412399295973419,0.4921275971500683,0.2666324732525898,3.0,3.978175702419545,4.0
AMSC-norm,90,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-90-mask-linear_comb-no_task_label-mg10/260622-121547,0,CurriculumMultiRoomObjectRemapEnv-BallLava-R2-v0,BallLava,2,0.0,0.0,1.0,0.0,1.0,1.0
AMSC-norm,90,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-90-mask-linear_comb-no_task_label-mg10/260622-121547,1,CurriculumMultiRoomObjectRemapEnv-LavaBall-R2-v0,LavaBall,2,0.0,0.49982339887290017,0.5001766011270998,1.0,1.990587210180135,2.0
AMSC-norm,90,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-90-mask-linear_comb-no_task_label-mg10/260622-121547,2,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R2-v0,KeyBoxSwap,2,0.0,0.6343418963532553,0.36565810364674467,1.0,1.8584498060567305,2.0
