method,depth,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-3,8,same_family_recall,0.5,0.5,0.5,7
Mask-SC-3,8,any_same_family,1.0,1.0,1.0,7
Mask-SC-3,8,parent_selected,0.9421428571428571,0.9296078395255314,0.9546778747601827,7
Mask-SC-3,8,family_pure_support,1.0,1.0,1.0,7
Mask-SC-3,8,jaccard_stability,0.8610750360750361,0.8227253955410119,0.8994246766090603,7
Mask-SC-3,8,cap_utilization,1.0,1.0,1.0,7
Mask-SC-3,8,raw_support_size,3.0,3.0,3.0,7
Mask-SC-3,8,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,8,raw_same_family_recall,0.5,0.5,0.5,7
Mask-SC-3,8,raw_parent_selected,0.9421428571428571,0.9296078395255314,0.9546778747601827,7
Mask-SC-3,8,raw_cap_utilization,1.0,1.0,1.0,7
Mask-SC-3,8,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-3,8,selected_similarity_mean,0.8471842139285714,0.8448251008455586,0.8495433270115841,7
Mask-SC-3,8,raw_selected_similarity_mean,0.8471842139285714,0.8448251008455586,0.8495433270115841,7
Mask-SC-3,8,threshold_qualified_count,6.0,6.0,6.0,7
Mask-SC-3,8,first_correct_found,1.0,1.0,1.0,7
Mask-SC-3,8,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-3,8,steps_until_first_correct,512.0,512.0,512.0,7
