method,seed,run_dir,task_idx,task_name,family,depth,layer,component_idx,component_role,beta_logit,beta_weight,selected_prior_count,effective_n,source
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.phi_body.layers.1,7,current,0.04593610763549805,0.46055037656187914,1,1.9876268417229068,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.phi_body.layers.2,3,same_family,0.20545710623264313,0.5401419367605145,1,1.9871915561343068,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.phi_body.layers.2,7,current,0.04454303905367851,0.4598580632394855,1,1.9871915561343068,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.fc_action,3,same_family,0.2059314101934433,0.5403777353126794,1,1.9870416153344628,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.fc_action,7,current,0.04406799376010895,0.45962226468732054,1,1.9870416153344628,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.fc_critic,3,same_family,0.13180649280548096,0.5034032012983595,1,1.9999073500595872,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.fc_critic,7,current,0.11819347739219666,0.4965967987016406,1,1.9999073500595872,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.0,0,same_family,0.09116549789905548,0.3277101125721005,2,2.9987601096567915,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.0,4,same_family,0.09637617319822311,0.32942216014931003,2,2.9987601096567915,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.0,8,current,0.13638082146644592,0.3428677272785895,2,2.9987601096567915,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.1,0,same_family,0.12396930158138275,0.3359960501934388,2,2.999630533945868,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.1,4,same_family,0.12368960678577423,0.335902086987977,2,2.999630533945868,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.1,8,current,0.10019401460886002,0.3281018628185841,2,2.999630533945868,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.2,0,same_family,0.17939874529838562,0.35166434085391896,2,2.991031914875381,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.2,4,same_family,0.1453917771577835,0.3399063625429516,2,2.991031914875381,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.phi_body.layers.2,8,current,0.04821423441171646,0.3084292966031295,2,2.991031914875381,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.fc_action,0,same_family,0.17796353995800018,0.35080973645577274,2,2.9900476318942713,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.fc_action,4,same_family,0.15440502762794495,0.34264177127546164,2,2.9900476318942713,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,8,F1-D4,F1,4,network.fc_action,8,current,0.043095480650663376,0.30654849226876557,2,2.9900476318942713,checkpoint_reconstruction
