method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,raw_same_family_recall,0.49900000000000005,0.18560452502734937,0.8123954749726507,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,raw_parent_selected,0.49900000000000005,0.18560452502734937,0.8123954749726507,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,raw_cap_utilization,0.12507142857142856,0.046852126392661106,0.203290730750196,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,performance_filter_retention,1.0,1.0,1.0,5
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,selected_similarity_mean,0.7815221866105427,0.7594475636505327,0.8035968095705528,5
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,raw_selected_similarity_mean,0.7815221866105427,0.7594475636505327,0.8035968095705528,5
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,threshold_qualified_count,0.5002857142857142,0.18740850557064442,0.813162923000784,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,first_correct_found,0.7142857142857143,0.35280726863968875,1.0,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,selection_events_until_first_correct,7.8,-0.12286210911183293,15.722862109111833,5
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,steps_until_first_correct,3993.6,-62.90539986525846,8050.105399865259,5
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,support_size,2.298285714285714,1.9728588938380647,2.6237125347333636,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,support_fraction,0.28728571428571426,0.24660736172975808,0.32796406684167045,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,same_family_precision,0.8900476190476192,0.7575033972726737,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,same_family_recall,0.9667857142857142,0.9021743871054125,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,any_same_family,0.9998571428571428,0.9995771428571428,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,parent_selected,0.9998571428571428,0.9995771428571428,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,family_pure_support,0.7688571428571429,0.5399369786076824,0.9977773071066034,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,jaccard_stability,0.9491014824348157,0.9112869860909696,0.9869159787786619,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,cap_utilization,0.5745714285714285,0.49321472345951617,0.6559281336833409,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,raw_support_size,2.298285714285714,1.9728588938380647,2.6237125347333636,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,raw_same_family_precision,0.8900476190476192,0.7575033972726737,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,raw_same_family_recall,0.9667857142857142,0.9021743871054125,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,raw_parent_selected,0.9998571428571428,0.9995771428571428,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,raw_cap_utilization,0.5745714285714285,0.49321472345951617,0.6559281336833409,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,selected_similarity_mean,0.860647398125697,0.8405306109739286,0.8807641852774655,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,raw_selected_similarity_mean,0.860647398125697,0.8405306109739286,0.8807641852774655,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,threshold_qualified_count,2.3,1.9741826507586393,2.6258173492413603,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,selection_events_until_first_correct,1.1428571428571428,0.8628571428571428,1.4228571428571428,7
Mask-SC-4,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,steps_until_first_correct,585.1428571428571,441.7828571428571,728.5028571428571,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,support_size,2.462285714285714,1.7945387226788632,3.130032705892565,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,support_fraction,0.27358730158730166,0.19939319140876263,0.34778141176584065,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,same_family_precision,0.8320261452279912,0.6749073232025478,0.9891449672534347,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,same_family_recall,0.9288571428571428,0.8367667575464782,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,any_same_family,0.9822857142857143,0.9598699698189338,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,parent_selected,0.9471428571428572,0.8629134149427966,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,family_pure_support,0.6551428571428571,0.3420731388158792,0.9682125754698351,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,jaccard_stability,0.9400781734115066,0.8843976233994755,0.9957587234235377,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,cap_utilization,0.6155714285714285,0.4486346806697158,0.7825081764731413,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,raw_support_size,2.462285714285714,1.7945387226788632,3.130032705892565,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,raw_same_family_precision,0.8320261452279912,0.6749073232025478,0.9891449672534347,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,raw_same_family_recall,0.9288571428571428,0.8367667575464782,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,raw_parent_selected,0.9471428571428572,0.8629134149427966,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,raw_cap_utilization,0.6155714285714285,0.4486346806697158,0.7825081764731413,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,selected_similarity_mean,0.8300917858705639,0.7977001444056572,0.8624834273354706,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,raw_selected_similarity_mean,0.8300917858705639,0.7977001444056572,0.8624834273354706,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,threshold_qualified_count,2.5109999999999997,1.7780505938333802,3.243949406166619,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-4,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,support_size,2.2392857142857143,1.8027986126817075,2.6757728158897214,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,support_fraction,0.22392857142857142,0.18027986126817075,0.2675772815889721,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,same_family_precision,0.8978870967741935,0.7507813667812171,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,same_family_recall,0.9445,0.8933281965662078,0.9956718034337922,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,any_same_family,0.9988571428571429,0.9966171428571429,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,parent_selected,0.9761428571428572,0.9351399824468882,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,family_pure_support,0.7847142857142856,0.5044644038826127,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,jaccard_stability,0.9515968349301681,0.9072404189868731,0.9959532508734631,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,cap_utilization,0.5598214285714286,0.4506996531704269,0.6689432039724303,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,raw_support_size,2.2392857142857143,1.8027986126817075,2.6757728158897214,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,raw_same_family_precision,0.8978870967741935,0.7507813667812171,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,raw_same_family_recall,0.9445,0.8933281965662078,0.9956718034337922,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,raw_parent_selected,0.9761428571428572,0.9351399824468882,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,raw_cap_utilization,0.5598214285714286,0.4506996531704269,0.6689432039724303,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,selected_similarity_mean,0.8229743463513826,0.7990988910315318,0.8468498016712334,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,raw_selected_similarity_mean,0.8229743463513826,0.7990988910315318,0.8468498016712334,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,threshold_qualified_count,2.248428571428571,1.7949360615308516,2.701921081326291,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-4,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,support_size,1.3024285714285713,1.0325275001697365,1.572329642687406,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,support_fraction,0.11840259740259741,0.09386613637906696,0.14293905842612786,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,same_family_precision,0.9994761904761905,0.9984495238095238,1.0,7
